Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm),Notes
2018-04-13 18:37:12,Running,12.9,1900-01-01 01:07:47,1900-01-01 00:05:15,11.42,169,147,TomTom MySports Watch
2018-04-11 18:17:35,Running,12.82,1900-01-01 01:07:10,1900-01-01 00:05:14,11.45,173,147,TomTom MySports Watch
2018-04-08 11:41:49,Running,16.48,1900-01-01 01:31:35,1900-01-01 00:05:33,10.8,236,164,TomTom MySports Watch
2018-04-06 18:01:30,Running,12.75,1900-01-01 01:10:54,1900-01-01 00:05:34,10.79,170,154,TomTom MySports Watch
2018-04-03 18:43:05,Running,8.32,1900-01-01 00:46:53,1900-01-01 00:05:38,10.65,135,143,TomTom MySports Watch
2018-03-26 18:33:12,Running,11.82,1900-01-01 01:05:28,1900-01-01 00:05:32,10.83,202,150,TomTom MySports Watch
2018-03-21 18:57:05,Running,6.4,1900-01-01 00:37:41,1900-01-01 00:05:53,10.19,116,137,TomTom MySports Watch
2018-03-18 18:14:45,Running,10.36,1900-01-01 01:00:17,1900-01-01 00:05:49,10.31,188,147,TomTom MySports Watch
2018-03-15 18:31:35,Running,10.15,1900-01-01 00:58:40,1900-01-01 00:05:47,10.38,182,149,TomTom MySports Watch
2018-02-19 18:28:16,Running,10.42,1900-01-01 01:00:10,1900-01-01 00:05:46,10.39,174,143,TomTom MySports Watch
2018-02-15 19:11:33,Running,10.27,1900-01-01 01:00:19,1900-01-01 00:05:52,10.22,174,146,TomTom MySports Watch
2018-02-13 18:27:44,Running,10.6,1900-01-01 01:01:20,1900-01-01 00:05:47,10.37,179,146,TomTom MySports Watch
2018-02-04 17:47:37,Running,10.08,1900-01-01 00:58:57,1900-01-01 00:05:51,10.26,175,141,TomTom MySports Watch
2018-01-28 13:23:30,Running,13.0,1900-01-01 01:13:42,1900-01-01 00:05:40,10.59,174,152,TomTom MySports Watch
2018-01-24 18:13:26,Running,11.59,1900-01-01 01:10:30,1900-01-01 00:06:05,9.86,196,143,TomTom MySports Watch
2018-01-21 11:46:12,Running,10.52,1900-01-01 01:00:59,1900-01-01 00:05:48,10.35,153,154,TomTom MySports Watch
2018-01-14 12:48:41,Running,13.01,1900-01-01 01:12:44,1900-01-01 00:05:35,10.73,180,153,TomTom MySports Watch
2018-01-08 18:25:42,Running,10.64,1900-01-01 01:03:43,1900-01-01 00:05:59,10.02,182,140,TomTom MySports Watch
2018-01-05 17:45:58,Running,11.4,1900-01-01 01:06:31,1900-01-01 00:05:50,10.28,187,150,TomTom MySports Watch
2018-01-02 17:41:34,Running,11.51,1900-01-01 01:07:45,1900-01-01 00:05:53,10.2,190,150,TomTom MySports Watch
2017-12-30 17:11:53,Running,11.69,1900-01-01 01:10:16,1900-01-01 00:06:01,9.98,192,150,TomTom MySports Watch
2017-12-27 18:50:24,Running,8.29,1900-01-01 00:45:56,1900-01-01 00:05:33,10.83,131,147,TomTom MySports Watch
2017-12-04 18:14:41,Running,10.0,1900-01-01 00:59:43,1900-01-01 00:05:58,10.05,160,142,TomTom MySports Watch
2017-11-25 12:17:22,Running,12.85,1900-01-01 01:10:04,1900-01-01 00:05:27,11.0,176,157,TomTom MySports Watch
2017-11-22 18:21:12,Running,7.55,1900-01-01 00:43:29,1900-01-01 00:05:46,10.42,129,140,TomTom MySports Watch
