Date,Type,Distance (km),Duration,Average Pace,Average Speed (km/h),Climb (m),Average Heart Rate (bpm),Notes
2016-06-05 17:10:29,Running,15.52,1900-01-01 01:30:35,1900-01-01 00:05:50,10.28,254,142,TomTom MySports Watch
2016-06-02 18:43:44,Running,13.24,1900-01-01 01:09:06,1900-01-01 00:05:13,11.5,117,145,TomTom MySports Watch
2016-05-30 18:51:32,Running,10.03,1900-01-01 00:52:02,1900-01-01 00:05:11,11.57,91,145,TomTom MySports Watch
2016-05-26 18:30:37,Running,12.88,1900-01-01 01:08:16,1900-01-01 00:05:18,11.32,145,149,TomTom MySports Watch
2016-05-23 18:26:58,Running,10.02,1900-01-01 00:51:25,1900-01-01 00:05:08,11.68,64,143,missing
2016-05-22 15:31:06,Cycling,39.62,1900-01-01 01:48:59,1900-01-01 00:02:45,21.81,319,143,missing
2016-05-19 18:54:07,Running,10.14,1900-01-01 00:55:00,1900-01-01 00:05:26,11.06,99,145,TomTom MySports Watch
2016-05-09 16:46:49,Running,13.5,1900-01-01 01:15:04,1900-01-01 00:05:34,10.79,181,147,TomTom MySports Watch
2016-04-24 17:16:01,Running,12.85,1900-01-01 01:16:56,1900-01-01 00:05:59,10.02,185,142,TomTom MySports Watch
2016-04-17 16:20:56,Running,13.47,1900-01-01 01:17:55,1900-01-01 00:05:47,10.37,180,140,TomTom MySports Watch
2016-04-11 18:25:11,Running,8.88,1900-01-01 00:47:00,1900-01-01 00:05:17,11.34,83,143,TomTom MySports Watch
2016-04-07 18:50:38,Running,10.0,1900-01-01 00:51:15,1900-01-01 00:05:07,11.71,92,145,TomTom MySports Watch
2016-04-03 16:27:37,Running,10.3,1900-01-01 00:58:59,1900-01-01 00:05:44,10.47,143,142,TomTom MySports Watch
2016-03-28 16:12:15,Running,15.62,1900-01-01 01:32:26,1900-01-01 00:05:55,10.14,258,145,TomTom MySports Watch
2016-03-21 18:51:35,Running,9.1,1900-01-01 00:51:25,1900-01-01 00:05:39,10.62,85,142,TomTom MySports Watch
2016-03-13 13:02:38,Running,7.19,1900-01-01 00:43:26,1900-01-01 00:06:03,9.93,111,136,TomTom MySports Watch
2016-03-07 13:23:44,Running,13.69,1900-01-01 01:20:39,1900-01-01 00:05:54,10.18,141,143,missing
2016-02-28 13:37:46,Running,13.48,1900-01-01 01:19:28,1900-01-01 00:05:54,10.18,183,144,TomTom MySports Watch
2016-02-21 15:48:48,Running,13.69,1900-01-01 01:22:23,1900-01-01 00:06:01,9.97,144,143,"Cold and windy
"
2016-02-18 19:09:01,Running,6.92,1900-01-01 00:39:25,1900-01-01 00:05:42,10.54,67,141,TomTom MySports Watch
2016-02-15 18:37:04,Running,10.02,1900-01-01 01:00:08,1900-01-01 00:06:00,10.0,92,157,TomTom MySports Watch
2016-02-08 18:09:03,Running,6.81,1900-01-01 00:41:18,1900-01-01 00:06:04,9.89,68,165,TomTom MySports Watch
2016-02-04 18:46:32,Running,6.84,1900-01-01 00:40:02,1900-01-01 00:05:51,10.25,67,139,TomTom MySports Watch
2016-01-14 18:40:08,Running,7.0,1900-01-01 00:41:18,1900-01-01 00:05:54,10.17,70,142,TomTom MySports Watch
2015-12-27 13:14:59,Running,13.53,1900-01-01 01:16:48,1900-01-01 00:05:41,10.57,185,152,TomTom MySports Watch
2015-12-23 18:45:03,Running,10.12,1900-01-01 00:59:02,1900-01-01 00:05:50,10.29,95,158,TomTom MySports Watch
2015-12-21 18:31:25,Running,10.02,1900-01-01 00:57:55,1900-01-01 00:05:47,10.38,91,138,TomTom MySports Watch
2015-12-06 12:54:29,Running,13.77,1900-01-01 01:18:04,1900-01-01 00:05:40,10.58,146,143,missing
2015-11-17 18:37:11,Running,10.0,1900-01-01 00:58:32,1900-01-01 00:05:51,10.25,93,140,TomTom MySports Watch
2015-11-09 18:21:31,Running,9.72,1900-01-01 00:55:01,1900-01-01 00:05:40,10.6,89,131,TomTom MySports Watch
2015-11-02 18:23:37,Running,6.6,1900-01-01 00:36:15,1900-01-01 00:05:30,10.92,62,145,TomTom MySports Watch
2015-10-18 15:43:06,Cycling,16.67,1900-01-01 01:08:46,1900-01-01 00:04:08,14.54,166,143,missing
2015-10-04 10:15:57,Running,38.32,1900-01-01 04:28:19,1900-01-01 00:07:00,8.57,646,140,TomTom MySports Watch
2015-09-28 18:21:21,Running,18.94,1900-01-01 01:44:26,1900-01-01 00:05:31,10.88,158,138,TomTom MySports Watch
2015-09-24 18:28:14,Running,9.43,1900-01-01 00:51:16,1900-01-01 00:05:26,11.03,77,138,TomTom MySports Watch
2015-09-21 18:13:10,Running,9.65,1900-01-01 00:46:56,1900-01-01 00:04:52,12.33,83,153,TomTom MySports Watch
2015-09-18 18:39:38,Running,22.15,1900-01-01 02:01:30,1900-01-01 00:05:29,10.94,182,149,TomTom MySports Watch
2015-09-16 17:59:37,Running,19.35,1900-01-01 01:46:38,1900-01-01 00:05:31,10.89,303,146,TomTom MySports Watch
2015-09-13 17:14:13,Running,23.95,1900-01-01 02:23:03,1900-01-01 00:05:58,10.04,390,140,TomTom MySports Watch
2015-09-09 18:37:26,Running,15.88,1900-01-01 01:24:05,1900-01-01 00:05:18,11.33,132,145,TomTom MySports Watch
2015-09-07 18:47:06,Running,15.62,1900-01-01 01:22:49,1900-01-01 00:05:18,11.32,241,144,TomTom MySports Watch
2015-09-03 18:49:40,Running,9.55,1900-01-01 00:53:21,1900-01-01 00:05:35,10.74,85,127,TomTom MySports Watch
2015-08-24 17:21:48,Running,28.14,1900-01-01 02:46:07,1900-01-01 00:05:54,10.17,518,138,TomTom MySports Watch
2015-08-23 17:35:47,Cycling,35.09,1900-01-01 01:32:58,1900-01-01 00:02:39,22.64,336,143,missing
2015-08-21 18:18:37,Running,12.48,1900-01-01 01:08:30,1900-01-01 00:05:29,10.93,102,151,TomTom MySports Watch
2015-08-16 17:35:23,Running,26.01,1900-01-01 02:33:13,1900-01-01 00:05:54,10.18,436,136,TomTom MySports Watch
2015-08-15 18:46:21,Cycling,13.72,1900-01-01 00:38:39,1900-01-01 00:02:49,21.3,139,143,missing
2015-08-14 17:44:35,Running,19.04,1900-01-01 01:52:10,1900-01-01 00:05:54,10.18,301,130,TomTom MySports Watch
2015-08-09 16:29:48,Running,18.58,1900-01-01 01:48:49,1900-01-01 00:05:51,10.25,285,138,TomTom MySports Watch
2015-08-03 18:30:49,Running,18.95,1900-01-01 01:38:16,1900-01-01 00:05:11,11.57,156,149,TomTom MySports Watch
2015-08-01 18:40:14,Cycling,18.79,1900-01-01 00:56:41,1900-01-01 00:03:01,19.88,195,143,missing
2015-07-29 18:14:34,Running,0.76,1900-01-01 00:05:15,1900-01-01 00:06:55,8.67,6,133,TomTom MySports Watch
2015-07-26 08:02:36,Running,22.09,1900-01-01 02:16:22,1900-01-01 00:06:10,9.72,372,142,missing
2015-07-24 18:49:43,Running,12.69,1900-01-01 01:05:15,1900-01-01 00:05:09,11.67,108,146,missing
2015-07-21 18:22:38,Running,12.66,1900-01-01 01:08:07,1900-01-01 00:05:23,11.15,109,138,TomTom MySports Watch
2015-07-19 17:19:38,Running,23.88,1900-01-01 02:27:32,1900-01-01 00:06:11,9.71,391,135,missing
2015-07-16 18:32:18,Running,9.57,1900-01-01 00:45:28,1900-01-01 00:04:45,12.63,77,148,missing
2015-07-14 18:39:53,Running,12.66,1900-01-01 01:04:46,1900-01-01 00:05:07,11.73,108,145,missing
2015-07-12 18:14:14,Running,19.04,1900-01-01 01:51:58,1900-01-01 00:05:53,10.2,295,133,missing
2015-07-10 18:35:16,Running,19.02,1900-01-01 01:34:06,1900-01-01 00:04:57,12.13,156,144,missing
2015-07-07 18:39:38,Running,9.55,1900-01-01 00:48:59,1900-01-01 00:05:08,11.7,88,143,missing
2015-07-05 17:53:06,Running,19.7,1900-01-01 01:52:23,1900-01-01 00:05:42,10.52,303,142,missing
2015-07-01 18:16:02,Running,18.83,1900-01-01 01:34:34,1900-01-01 00:05:01,11.95,154,142,missing
2015-06-28 17:39:02,Running,19.81,1900-01-01 01:55:57,1900-01-01 00:05:51,10.25,313,133,missing
2015-06-24 18:27:23,Running,11.14,1900-01-01 01:03:45,1900-01-01 00:05:43,10.49,162,133,missing
2015-06-22 18:19:53,Running,18.84,1900-01-01 01:41:17,1900-01-01 00:05:22,11.16,156,141,missing
2015-06-21 17:53:46,Cycling,34.49,1900-01-01 01:35:39,1900-01-01 00:02:46,21.63,318,143,missing
2015-06-17 18:39:44,Running,12.61,1900-01-01 01:07:45,1900-01-01 00:05:22,11.17,109,137,missing
2015-06-15 18:27:00,Running,12.64,1900-01-01 01:02:17,1900-01-01 00:04:56,12.18,107,158,missing
2015-06-14 17:03:23,Cycling,28.49,1900-01-01 01:20:47,1900-01-01 00:02:50,21.16,294,143,missing
2015-06-12 18:27:52,Running,12.63,1900-01-01 01:02:18,1900-01-01 00:04:56,12.16,107,154,missing
2015-06-10 18:14:03,Running,14.35,1900-01-01 01:21:05,1900-01-01 00:05:39,10.62,226,136,missing
2015-06-08 18:18:18,Running,9.6,1900-01-01 00:44:45,1900-01-01 00:04:40,12.88,85,161,missing
2015-06-07 16:51:14,Running,13.01,1900-01-01 01:13:07,1900-01-01 00:05:37,10.68,193,147,missing
2015-06-06 18:30:39,Cycling,18.96,1900-01-01 01:19:02,1900-01-01 00:04:10,14.39,123,143,missing
2015-06-04 18:15:45,Running,15.97,1900-01-01 01:23:18,1900-01-01 00:05:13,11.5,135,141,missing
2015-06-01 17:40:42,Running,11.85,1900-01-01 01:04:46,1900-01-01 00:05:28,10.98,180,145,missing
2015-05-31 04:02:00,Cycling,29.4,1900-01-01 02:35:00,1900-01-01 00:05:16,11.38,58,143,missing
2015-05-29 18:45:22,Running,9.73,1900-01-01 00:46:22,1900-01-01 00:04:46,12.59,84,150,missing
2015-05-27 18:19:22,Running,12.8,1900-01-01 01:03:46,1900-01-01 00:04:59,12.05,108,150,missing
2015-05-23 19:07:40,Cycling,13.65,1900-01-01 00:43:06,1900-01-01 00:03:09,19.0,144,124,missing
2015-05-21 18:45:51,Running,9.54,1900-01-01 00:45:19,1900-01-01 00:04:45,12.64,82,147,missing
2015-05-19 18:48:36,Running,12.73,1900-01-01 01:02:30,1900-01-01 00:04:55,12.22,109,134,missing
2015-05-17 17:33:15,Running,9.64,1900-01-01 00:48:27,1900-01-01 00:05:02,11.94,85,150,missing
2015-05-13 18:39:34,Running,12.71,1900-01-01 01:09:15,1900-01-01 00:05:27,11.01,108,158,missing
2015-05-11 18:39:02,Running,9.61,1900-01-01 00:48:38,1900-01-01 00:05:04,11.86,91,158,missing
2015-05-06 18:18:49,Running,12.83,1900-01-01 01:07:10,1900-01-01 00:05:14,11.46,107,142,missing
2015-05-02 18:48:03,Running,7.39,1900-01-01 00:43:11,1900-01-01 00:05:50,10.27,162,165,missing
2015-05-01 18:05:38,Cycling,11.41,1900-01-01 00:42:39,1900-01-01 00:03:44,16.06,132,125,missing
2015-04-26 09:03:15,Running,21.12,1900-01-01 01:38:42,1900-01-01 00:04:40,12.84,982,170,missing
2015-04-23 18:48:37,Running,6.87,1900-01-01 00:37:32,1900-01-01 00:05:28,10.97,81,143,missing
2015-04-15 18:38:43,Running,12.68,1900-01-01 01:05:47,1900-01-01 00:05:11,11.56,110,141,missing
2015-04-13 16:57:26,Running,18.06,1900-01-01 01:53:38,1900-01-01 00:06:17,9.54,228,140,missing
2015-04-07 18:33:21,Running,15.79,1900-01-01 01:22:37,1900-01-01 00:05:14,11.46,135,152,missing
2015-04-02 18:50:23,Running,12.83,1900-01-01 01:06:28,1900-01-01 00:05:11,11.58,106,146,missing
2015-03-30 18:10:03,Running,5.73,1900-01-01 00:30:12,1900-01-01 00:05:17,11.37,50,123,missing
2015-03-25 18:40:19,Running,9.73,1900-01-01 00:55:12,1900-01-01 00:05:40,10.58,84,131,missing
2015-03-16 18:23:38,Running,16.15,1900-01-01 01:26:37,1900-01-01 00:05:22,11.19,133,131,missing
2015-03-11 18:21:26,Running,15.91,1900-01-01 01:28:23,1900-01-01 00:05:33,10.8,136,140,missing
2015-03-06 18:44:58,Running,12.81,1900-01-01 01:06:04,1900-01-01 00:05:09,11.63,106,172,missing
2015-03-04 19:00:17,Running,10.25,1900-01-01 00:58:27,1900-01-01 00:05:42,10.52,90,125,missing
2015-03-02 18:15:36,Running,15.99,1900-01-01 01:31:46,1900-01-01 00:05:44,10.46,128,154,missing
2015-02-28 09:11:09,Running,3.5,1900-01-01 00:20:19,1900-01-01 00:05:48,10.34,33,116,missing
2015-02-25 18:18:41,Running,9.78,1900-01-01 00:54:08,1900-01-01 00:05:32,10.84,87,144,missing
2015-02-23 18:14:09,Running,12.84,1900-01-01 01:10:50,1900-01-01 00:05:31,10.88,105,141,missing
2015-02-17 18:34:53,Running,9.86,1900-01-01 00:55:53,1900-01-01 00:05:40,10.58,60,143,missing
2015-02-12 18:22:44,Running,6.75,1900-01-01 00:36:25,1900-01-01 00:05:24,11.12,42,143,missing
2015-02-09 18:40:18,Running,9.94,1900-01-01 00:55:22,1900-01-01 00:05:34,10.77,61,143,missing
2015-02-04 18:31:10,Running,10.23,1900-01-01 00:55:10,1900-01-01 00:05:24,11.12,59,143,missing
2015-02-02 18:31:00,Running,9.91,1900-01-01 00:58:57,1900-01-01 00:05:57,10.08,259,143,missing
2015-01-31 09:30:04,Running,6.55,1900-01-01 00:40:01,1900-01-01 00:06:06,9.83,37,143,missing
2015-01-28 18:43:29,Running,10.02,1900-01-01 00:55:13,1900-01-01 00:05:31,10.89,61,143,missing
2015-01-26 18:30:18,Running,13.11,1900-01-01 01:14:30,1900-01-01 00:05:41,10.55,76,143,missing
2015-01-14 17:50:00,Running,9.78,1900-01-01 00:52:45,1900-01-01 00:05:24,11.12,51,143,missing
2015-01-12 18:20:00,Running,9.78,1900-01-01 00:51:45,1900-01-01 00:05:18,11.34,51,143,missing
2015-01-03 17:20:00,Running,9.78,1900-01-01 00:52:45,1900-01-01 00:05:24,11.12,51,143,missing
2014-12-26 17:50:00,Running,9.78,1900-01-01 00:49:45,1900-01-01 00:05:05,11.79,51,143,missing
2014-12-24 18:18:00,Running,6.59,1900-01-01 00:32:00,1900-01-01 00:04:51,12.35,33,143,missing
2014-12-08 16:18:00,Running,6.63,1900-01-01 00:32:00,1900-01-01 00:04:49,12.44,33,143,missing
2014-12-03 18:18:00,Running,6.63,1900-01-01 00:32:00,1900-01-01 00:04:49,12.44,33,143,missing
2014-12-01 18:18:00,Running,6.63,1900-01-01 00:32:00,1900-01-01 00:04:49,12.44,33,143,missing
2014-11-25 17:50:00,Running,9.78,1900-01-01 00:51:45,1900-01-01 00:05:18,11.34,51,143,missing
2014-11-19 18:18:00,Running,6.22,1900-01-01 00:31:00,1900-01-01 00:04:59,12.03,33,143,missing
2014-11-11 15:50:00,Running,9.78,1900-01-01 00:49:45,1900-01-01 00:05:05,11.79,51,143,missing
2014-11-04 18:18:00,Running,6.22,1900-01-01 00:32:00,1900-01-01 00:05:09,11.66,33,143,missing
2014-10-30 17:50:00,Running,9.78,1900-01-01 00:49:45,1900-01-01 00:05:05,11.79,51,143,missing
2014-10-27 18:30:00,Running,12.98,1900-01-01 01:05:45,1900-01-01 00:05:04,11.85,67,143,missing
2014-10-22 17:50:00,Running,9.61,1900-01-01 00:49:45,1900-01-01 00:05:10,11.59,54,143,missing
2014-10-20 18:10:00,Running,9.61,1900-01-01 00:51:17,1900-01-01 00:05:20,11.25,54,143,missing
2014-10-14 18:10:00,Running,12.82,1900-01-01 01:02:45,1900-01-01 00:04:54,12.26,70,143,missing
2014-10-09 18:10:00,Running,9.61,1900-01-01 00:52:17,1900-01-01 00:05:26,11.03,54,143,missing
2014-10-07 19:10:00,Running,9.61,1900-01-01 00:49:17,1900-01-01 00:05:08,11.7,54,143,missing
2014-09-28 10:01:30,Running,21.32,1900-01-01 01:45:27,1900-01-01 00:04:57,12.13,447,143,missing
2014-09-23 18:10:00,Running,12.82,1900-01-01 01:02:45,1900-01-01 00:04:54,12.26,70,143,missing
2014-09-18 18:12:00,Running,19.19,1900-01-01 01:42:03,1900-01-01 00:05:19,11.29,111,143,missing
2014-09-15 18:30:00,Running,9.55,1900-01-01 00:48:54,1900-01-01 00:05:07,11.72,51,143,missing
2014-09-11 19:10:00,Running,9.61,1900-01-01 00:48:22,1900-01-01 00:05:02,11.93,54,143,missing
2014-09-08 18:00:00,Running,19.19,1900-01-01 01:42:03,1900-01-01 00:05:19,11.29,111,143,missing
2014-09-04 18:55:54,Running,9.61,1900-01-01 00:50:22,1900-01-01 00:05:14,11.45,54,143,missing
2014-09-01 18:46:00,Running,15.59,1900-01-01 01:23:41,1900-01-01 00:05:22,11.18,110,143,missing
2014-08-29 18:56:02,Cycling,20.7,1900-01-01 01:00:37,1900-01-01 00:02:56,20.49,113,143,missing
2014-08-28 18:10:00,Running,12.82,1900-01-01 01:05:45,1900-01-01 00:05:08,11.7,70,143,missing
2014-08-26 18:16:03,Running,16.06,1900-01-01 01:21:39,1900-01-01 00:05:05,11.8,89,143,missing
2014-08-21 18:49:00,Running,9.55,1900-01-01 00:53:54,1900-01-01 00:05:39,10.63,51,143,missing
2014-08-18 18:37:00,Running,12.82,1900-01-01 01:05:44,1900-01-01 00:05:08,11.7,70,143,missing
2014-08-12 18:50:00,Running,9.55,1900-01-01 00:53:54,1900-01-01 00:05:39,10.63,51,143,HOT!
2014-08-08 08:00:16,Running,9.82,1900-01-01 00:50:20,1900-01-01 00:05:08,11.7,62,143,missing
2014-07-25 18:35:00,Running,13.17,1900-01-01 01:05:08,1900-01-01 00:04:57,12.13,83,143,missing
2014-07-22 18:08:00,Running,12.75,1900-01-01 00:59:41,1900-01-01 00:04:41,12.81,71,143,missing
2014-07-17 18:30:00,Running,9.55,1900-01-01 00:53:54,1900-01-01 00:05:39,10.63,51,143,"It was not easy, as it was +29 Celcius"
2014-07-10 18:45:00,Running,12.75,1900-01-01 01:00:41,1900-01-01 00:04:46,12.6,71,143,"It was raining heavily, which was absolute fun to run that distance"
2014-07-02 18:31:00,Running,12.75,1900-01-01 01:02:41,1900-01-01 00:04:55,12.2,71,143,missing
2014-06-24 18:12:00,Running,16.21,1900-01-01 01:21:46,1900-01-01 00:05:03,11.89,85,143,missing
2014-06-18 18:29:00,Running,16.21,1900-01-01 01:21:46,1900-01-01 00:05:03,11.89,85,143,missing
2014-06-11 18:08:00,Running,12.75,1900-01-01 01:02:41,1900-01-01 00:04:55,12.2,71,143,missing
2014-06-04 18:07:39,Running,16.17,1900-01-01 01:20:57,1900-01-01 00:05:00,11.98,93,143,missing
2014-05-26 18:30:00,Running,9.55,1900-01-01 00:53:54,1900-01-01 00:05:39,10.63,51,143,missing
2014-05-21 18:45:00,Running,12.75,1900-01-01 01:01:41,1900-01-01 00:04:50,12.4,71,143,missing
2014-05-19 18:15:00,Running,12.75,1900-01-01 01:03:01,1900-01-01 00:04:57,12.14,71,143,missing
2014-05-17 07:50:00,Running,6.56,1900-01-01 00:35:23,1900-01-01 00:05:24,11.12,36,143,missing
2014-05-14 18:09:11,Running,13.17,1900-01-01 01:05:08,1900-01-01 00:04:57,12.13,84,143,missing
2014-05-12 18:06:22,Running,12.63,1900-01-01 01:01:22,1900-01-01 00:04:51,12.35,69,143,missing
2014-05-06 18:32:00,Running,12.85,1900-01-01 01:05:41,1900-01-01 00:05:07,11.74,71,143,missing
2014-05-02 18:47:02,Running,7.08,1900-01-01 00:37:56,1900-01-01 00:05:21,11.2,127,143,missing
2014-04-27 10:00:00,Running,21.73,1900-01-01 01:46:38,1900-01-01 00:04:54,12.23,22,143,missing
2014-04-21 19:08:29,Running,12.75,1900-01-01 00:59:41,1900-01-01 00:04:41,12.81,71,143,missing
2014-04-16 18:22:23,Running,19.08,1900-01-01 01:35:03,1900-01-01 00:04:59,12.04,111,143,missing
2014-04-14 18:19:40,Running,12.83,1900-01-01 01:04:32,1900-01-01 00:05:02,11.92,71,143,missing
2014-04-09 18:29:04,Running,16.21,1900-01-01 01:21:45,1900-01-01 00:05:03,11.9,85,143,missing
2014-04-07 18:28:42,Running,12.57,1900-01-01 01:04:09,1900-01-01 00:05:06,11.75,73,143,missing
2014-04-02 18:30:00,Running,12.47,1900-01-01 01:04:33,1900-01-01 00:05:11,11.59,69,143,missing
2014-04-02 18:18:43,Running,6.22,1900-01-01 00:32:00,1900-01-01 00:05:09,11.65,33,143,missing
2014-03-24 18:56:12,Running,6.32,1900-01-01 00:36:30,1900-01-01 00:05:47,10.39,36,143,missing
2014-03-20 18:49:11,Running,9.55,1900-01-01 00:53:54,1900-01-01 00:05:39,10.63,51,143,missing
2014-03-18 18:49:39,Running,9.71,1900-01-01 00:57:20,1900-01-01 00:05:55,10.15,53,143,missing
2014-03-13 18:41:49,Running,8.62,1900-01-01 00:51:36,1900-01-01 00:05:59,10.02,48,143,missing
2014-03-11 19:14:15,Running,6.35,1900-01-01 00:36:54,1900-01-01 00:05:49,10.33,34,143,missing
2014-03-04 18:45:09,Running,9.45,1900-01-01 00:53:34,1900-01-01 00:05:40,10.58,52,143,missing
2014-02-28 18:34:12,Running,6.34,1900-01-01 00:36:02,1900-01-01 00:05:41,10.56,32,143,missing
2014-02-25 18:23:39,Running,6.33,1900-01-01 00:36:09,1900-01-01 00:05:43,10.51,35,143,missing
2014-02-19 18:40:00,Running,6.38,1900-01-01 00:36:10,1900-01-01 00:05:40,10.58,34,143,missing
2014-02-15 08:55:15,Running,6.29,1900-01-01 00:34:34,1900-01-01 00:05:30,10.91,35,143,missing
2014-02-13 18:08:01,Running,6.38,1900-01-01 00:38:00,1900-01-01 00:05:57,10.08,34,143,missing
2014-02-06 06:32:00,Running,6.56,1900-01-01 00:42:23,1900-01-01 00:06:28,9.29,36,143,missing
2014-01-07 18:13:04,Running,10.81,1900-01-01 01:01:31,1900-01-01 00:05:42,10.54,56,143,missing
2014-01-02 09:45:05,Running,3.38,1900-01-01 00:18:10,1900-01-01 00:05:23,11.16,16,143,missing
2013-12-31 08:32:35,Running,6.57,1900-01-01 00:36:02,1900-01-01 00:05:29,10.93,36,143,missing
2013-12-23 18:59:00,Running,9.5,1900-01-01 00:54:08,1900-01-01 00:05:42,10.53,52,143,missing
2013-12-21 07:39:48,Running,6.34,1900-01-01 00:36:02,1900-01-01 00:05:41,10.56,33,143,missing
2013-12-19 18:58:42,Running,9.5,1900-01-01 00:53:06,1900-01-01 00:05:35,10.73,52,143,missing
2013-12-07 09:15:00,Running,6.3,1900-01-01 00:34:59,1900-01-01 00:05:33,10.8,35,143,missing
2013-12-04 18:36:22,Running,12.48,1900-01-01 01:10:42,1900-01-01 00:05:40,10.59,69,143,missing
2013-11-30 09:06:01,Running,6.33,1900-01-01 00:34:24,1900-01-01 00:05:26,11.03,35,143,missing
2013-11-20 18:18:12,Running,11.73,1900-01-01 01:06:41,1900-01-01 00:05:41,10.55,63,143,missing
2013-11-16 09:00:24,Running,6.15,1900-01-01 00:32:46,1900-01-01 00:05:20,11.26,21,143,missing
2013-11-07 19:00:59,Running,9.47,1900-01-01 00:50:07,1900-01-01 00:05:18,11.33,53,143,missing
2013-11-02 09:15:18,Running,3.14,1900-01-01 00:18:23,1900-01-01 00:05:51,10.25,18,143,missing
2013-10-30 18:42:16,Running,5.81,1900-01-01 00:33:12,1900-01-01 00:05:43,10.49,32,143,missing
2013-10-23 18:51:35,Running,6.3,1900-01-01 00:35:41,1900-01-01 00:05:40,10.59,35,143,missing
2013-10-18 18:07:56,Running,12.53,1900-01-01 01:09:46,1900-01-01 00:05:34,10.77,74,143,missing
2013-10-15 18:28:14,Running,8.57,1900-01-01 00:49:35,1900-01-01 00:05:47,10.37,45,143,missing
2013-10-12 09:36:00,Running,6.36,1900-01-01 00:34:21,1900-01-01 00:05:24,11.11,35,143,missing
2013-10-10 18:08:08,Running,9.34,1900-01-01 00:50:21,1900-01-01 00:05:24,11.12,52,143,missing
2013-10-05 07:36:47,Running,6.36,1900-01-01 00:34:21,1900-01-01 00:05:24,11.1,35,143,missing
2013-09-30 18:50:38,Running,6.45,1900-01-01 00:32:41,1900-01-01 00:05:04,11.84,34,143,missing
2013-09-10 18:13:42,Running,12.72,1900-01-01 01:01:54,1900-01-01 00:04:52,12.33,398,143,missing
2013-09-02 19:10:44,Running,6.41,1900-01-01 00:32:23,1900-01-01 00:05:03,11.88,34,143,missing
2013-08-17 08:09:12,Running,6.45,1900-01-01 00:31:22,1900-01-01 00:04:52,12.32,30,143,missing
2013-08-15 18:49:50,Walking,2.48,1900-01-01 02:23:46,1900-01-01 00:57:56,1.04,67,143,missing
2013-08-14 18:17:00,Running,15.61,1900-01-01 01:25:55,1900-01-01 00:05:30,10.9,88,143,missing
2013-08-08 18:30:36,Running,12.47,1900-01-01 01:06:33,1900-01-01 00:05:20,11.24,61,143,missing
2013-08-08 07:56:08,Walking,1.51,1900-01-01 00:15:24,1900-01-01 00:10:11,5.89,6,143,missing
2013-08-04 08:27:54,Running,12.49,1900-01-01 01:06:24,1900-01-01 00:05:19,11.29,68,143,missing
2013-07-30 18:49:22,Running,12.47,1900-01-01 01:05:43,1900-01-01 00:05:16,11.39,67,143,missing
2013-07-21 07:57:30,Running,11.87,1900-01-01 01:00:37,1900-01-01 00:05:07,11.74,64,143,missing
2013-07-19 18:40:13,Running,1.72,1900-01-01 00:08:33,1900-01-01 00:04:58,12.07,6,143,missing
2013-07-18 07:47:00,Running,6.15,1900-01-01 00:32:36,1900-01-01 00:05:18,11.33,30,143,missing
2013-07-07 08:43:13,Running,3.75,1900-01-01 00:21:36,1900-01-01 00:05:46,10.41,56,143,missing
2013-07-06 07:15:00,Running,3.75,1900-01-01 00:21:12,1900-01-01 00:05:39,10.61,55,143,missing
2013-07-05 08:01:00,Running,3.75,1900-01-01 00:21:10,1900-01-01 00:05:39,10.63,55,143,missing
2013-07-03 07:20:00,Running,3.75,1900-01-01 00:21:55,1900-01-01 00:05:51,10.26,55,143,missing
2013-07-02 07:43:00,Running,3.75,1900-01-01 00:21:40,1900-01-01 00:05:47,10.38,55,143,missing
2013-07-01 07:09:00,Running,3.75,1900-01-01 00:21:10,1900-01-01 00:05:39,10.63,0,143,missing
2013-06-26 18:19:00,Running,16.0,1900-01-01 01:06:49,1900-01-01 00:04:11,14.37,0,143,missing
2013-06-22 08:05:20,Running,6.23,1900-01-01 00:32:25,1900-01-01 00:05:12,11.52,35,143,missing
2013-06-15 08:44:27,Running,6.37,1900-01-01 00:29:53,1900-01-01 00:04:41,12.79,36,143,missing
2013-06-12 18:21:40,Running,16.59,1900-01-01 01:09:29,1900-01-01 00:04:11,14.32,77,143,missing
2013-06-08 07:45:08,Running,6.35,1900-01-01 00:33:51,1900-01-01 00:05:20,11.24,36,143,missing
2013-06-03 07:04:59,Walking,1.33,1900-01-01 00:11:59,1900-01-01 00:09:03,6.63,5,143,missing
2013-06-01 07:24:07,Running,12.57,1900-01-01 01:06:30,1900-01-01 00:05:18,11.33,67,143,missing
2013-05-28 07:16:32,Running,6.5,1900-01-01 00:24:17,1900-01-01 00:03:44,16.05,30,143,missing
2013-05-21 18:45:38,Running,11.63,1900-01-01 01:00:35,1900-01-01 00:05:12,11.52,63,143,missing
2013-05-11 08:06:42,Running,6.15,1900-01-01 00:31:38,1900-01-01 00:05:08,11.67,32,143,missing
2013-05-09 17:24:19,Cycling,15.47,1900-01-01 00:38:08,1900-01-01 00:02:28,24.33,88,143,missing
2013-05-09 09:20:00,Running,6.53,1900-01-01 00:40:00,1900-01-01 00:06:08,9.79,0,143,missing
2013-05-05 14:26:37,Cycling,20.3,1900-01-01 01:06:29,1900-01-01 00:03:17,18.31,97,143,missing
2013-05-05 09:13:02,Running,6.41,1900-01-01 00:33:58,1900-01-01 00:05:18,11.33,34,143,missing
